limit, count
50.6 ,  0
50.7 ,  0
50.8 ,  0
50.9 ,  0
51.0 ,  0
51.1 ,  0
51.2 ,  0
51.3 ,  0
51.4 ,  0
51.5 ,  1
51.6 ,  0
51.7 ,  0
51.8 ,  0
51.9 ,  0
52.0 ,  1
52.1 ,  1
52.2 ,  0
52.3 ,  0
52.4 ,  0
52.5 ,  0
52.6 ,  1
52.7 ,  0
52.8 ,  0
52.9 ,  0
53.0 ,  0
53.1 ,  0
53.2 ,  1
53.3 ,  0
53.4 ,  0
53.5 ,  0
53.6 ,  0
53.7 ,  0
53.8 ,  0
53.9 ,  0
54.0 ,  0
54.1 ,  1
54.2 ,  0
54.3 ,  0
54.4 ,  0
54.5 ,  0
54.6 ,  0
54.7 ,  0
54.8 ,  0
54.9 ,  0
55.0 ,  0
55.1 ,  0
55.2 ,  0
55.3 ,  0
55.4 ,  0
55.5 ,  0
55.6 ,  1
55.7 ,  0
55.8 ,  0
55.9 ,  1
56.0 ,  0
56.1 ,  0
56.2 ,  1
56.3 ,  0
56.4 ,  0
56.5 ,  0
56.6 ,  0
56.7 ,  0
56.8 ,  0
56.9 ,  0
57.0 ,  0
57.1 ,  0
57.2 ,  0
57.3 ,  0
57.4 ,  2
57.5 ,  0
57.6 ,  0
57.7 ,  0
57.8 ,  0
57.9 ,  0
58.0 ,  0
58.1 ,  0
58.2 ,  0
58.3 ,  0
58.4 ,  0
58.5 ,  0
58.6 ,  0
58.7 ,  0
58.8 ,  0
58.9 ,  0
59.0 ,  0
59.1 ,  0
59.2 ,  0
59.3 ,  0
59.4 ,  0
59.5 ,  0
59.6 ,  0
59.7 ,  0
59.8 ,  0
59.9 ,  0
60.0 ,  0
60.1 ,  0
60.2 ,  0
60.3 ,  0
60.4 ,  0
60.5 ,  0
60.6 ,  0
60.7 ,  0
60.8 ,  0
60.9 ,  0
61.0 ,  0
61.1 ,  0
61.2 ,  0
61.3 ,  0
61.4 ,  0
61.5 ,  0
61.6 ,  0
61.7 ,  0
61.8 ,  0
61.9 ,  1
62.0 ,  0
62.1 ,  0
62.2 ,  0
62.3 ,  0
62.4 ,  0
62.5 ,  0
62.6 ,  0
62.7 ,  0
62.8 ,  0
62.9 ,  0
63.0 ,  0
63.1 ,  0
63.2 ,  0
63.3 ,  0
63.4 ,  0
63.5 ,  0
63.6 ,  0
63.7 ,  0
63.8 ,  0
63.9 ,  0
64.0 ,  0
64.1 ,  0
64.2 ,  0
64.3 ,  0
64.4 ,  0
64.5 ,  0
64.6 ,  0
64.7 ,  0
64.8 ,  0
64.9 ,  0
65.0 ,  0
65.1 ,  0
65.2 ,  0
65.3 ,  0
65.4 ,  0
65.5 ,  0
65.6 ,  0
65.7 ,  0
65.8 ,  0
65.9 ,  0
66.0 ,  0
66.1 ,  0
66.2 ,  0
66.3 ,  0
66.4 ,  0
66.5 ,  0
66.6 ,  0
66.7 ,  0
66.8 ,  0
66.9 ,  0
67.0 ,  0
67.1 ,  1
